176,176,1,1827,3,0,2
177,177,1,2457408,2707,200,209
178,178,1,51143,258,5,10
179,179,1,27010,1666,36,150
180,180,1,122669,5723,55,263
181,181,1,358597,1211,72,593
182,182,1,56012,6243,106,414
183,183,1,6148,121,3,19
184,184,1,1390440,86207,1775,710
185,185,1,244532,633,174,765
186,186,1,82087,998,93,289
187,187,1,359120,15130,223,1143
188,188,1,33768,426,88,550
189,189,1,38068,2195,28,154
190,190,1,1277364,56867,2148,25326
191,191,1,1498866,67227,1473,4645
192,192,1,280065,20289,38,939
193,193,1,2259,0,0,0
194,194,1,470191,4037,430,1553
195,195,1,16305,147,13,47
196,196,1,169511,57,59,79
197,197,1,160477,8388,691,950
198,198,1,704363,16352,224,841
199,199,1,130778,5684,53,737
200,200,1,560569,29990,341,1788
201,201,2,462490,14132,795,666
202,202,2,295217,4854,1439,1267
203,203,2,1525400,63995,896,4697
204,204,2,1836419,28647,17815,7860
205,205,2,977285,87615,391,5575
206,206,2,390964,3687,1273,1224
207,207,2,1611093,58474,837,3294
208,208,2,983365,60983,578,3837
209,209,2,2765121,35529,1705,2388
210,16,2,3701763,56561,2495,11608
211,210,2,829132,25109,316,3428
212,211,2,391049,5939,106,385
213,212,2,137003,580,262,343
214,213,2,891912,122347,455,7459
215,214,2,175539,17130,264,1747
216,215,2,14565,478,13,67
217,216,2,125645,16754,65,1373
218,1,2,2188590,88099,7150,24225
219,217,2,394709,25188,281,1345
220,218,2,863116,20518,1030,4272
221,219,2,200235,1197,108,627
222,2,2,4632016,131784,9892,18284
223,220,2,122426,6310,298,1624
224,6,2,758998,19138,2272,2873
225,221,2,145100,5198,74,657
226,9,2,2671756,12699,505,1010
227,222,2,52743,4553,33,550
228,223,2,121681,6095,61,731
229,224,2,11404,62,26,20
230,225,2,419965,9805,1337,5457
231,226,2,137749,1145,61,131
232,4,2,772235,15301,1229,3328
233,18,2,297147,10410,110,665
234,227,2,126438,12229,86,1865
235,13,2,2285136,180284,3399,11700
236,228,2,206319,11131,209,553
237,229,2,60564,975,66,106
238,21,2,373457,16433,194,5220
239,3,2,4326684,167696,6730,9265
240,230,2,137860,1950,64,136
241,231,2,4009,61,6,14
242,232,2,3006,75,4,10
243,10,2,635985,20721,2417,4111
244,25,2,130893,8177,220,349
245,233,2,46954,87,18,28
246,40,2,208155,11162,569,954
247,234,2,190669,5162,131,1151
248,5,2,2509626,144816,2262,18893
249,235,2,20778,1440,24,437
250,62,2,30438,143,42,220
251,236,2,94694,136,11,31
252,12,2,211683,2279,545,1838
253,41,2,210393,8996,290,4043
254,237,2,63780,831,12,301
255,238,2,18438,563,16,29
256,8,2,1099318,26813,1047,3827
257,239,2,71661,6310,18,300
258,240,2,935879,5715,514,3442
259,241,2,131153,7129,78,265
260,29,2,84149,276,128,172
261,242,2,34138,4303,29,1399
262,243,2,144937,5246,171,280
263,23,2,306550,16612,160,1311
264,19,2,328325,19970,104,3336
265,7,2,2472569,17959,2863,2690
266,31,2,341074,10915,1915,1313
